id,img,wheel-axis,clutch,brake,gas,paddle-left,paddle-right,wheel-button-left-1,wheel-button-left-2,wheel-button-left-3,wheel-button-right-1,wheel-button-right-2,wheel-button-right-3,shifter-button-left,shifter-button-right,shifter-button-up,shifter-button-down,dpad-left/right,dpad-up/down,shifter-button-1,shifter-button-2,shifter-button-3,shifter-button-4,gear-1,gear-2,gear-3,gear-4,gear-5,gear-6,gear-R,front,side_left,side_right
0,9d0c3c2b_2017_07_27_14_55_08_16.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_16_front.jpg,9d0c3c2b_2017_07_27_14_55_08_16_left.jpg,9d0c3c2b_2017_07_27_14_55_08_16_right.jpg
1,9d0c3c2b_2017_07_27_14_55_08_26.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_26_front.jpg,9d0c3c2b_2017_07_27_14_55_08_26_left.jpg,9d0c3c2b_2017_07_27_14_55_08_26_right.jpg
2,9d0c3c2b_2017_07_27_14_55_08_36.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_36_front.jpg,9d0c3c2b_2017_07_27_14_55_08_36_left.jpg,9d0c3c2b_2017_07_27_14_55_08_36_right.jpg
3,9d0c3c2b_2017_07_27_14_55_08_46.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_46_front.jpg,9d0c3c2b_2017_07_27_14_55_08_46_left.jpg,9d0c3c2b_2017_07_27_14_55_08_46_right.jpg
4,9d0c3c2b_2017_07_27_14_55_08_56.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_56_front.jpg,9d0c3c2b_2017_07_27_14_55_08_56_left.jpg,9d0c3c2b_2017_07_27_14_55_08_56_right.jpg
5,9d0c3c2b_2017_07_27_14_55_08_66.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_66_front.jpg,9d0c3c2b_2017_07_27_14_55_08_66_left.jpg,9d0c3c2b_2017_07_27_14_55_08_66_right.jpg
6,9d0c3c2b_2017_07_27_14_55_08_76.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_76_front.jpg,9d0c3c2b_2017_07_27_14_55_08_76_left.jpg,9d0c3c2b_2017_07_27_14_55_08_76_right.jpg
7,9d0c3c2b_2017_07_27_14_55_08_86.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_86_front.jpg,9d0c3c2b_2017_07_27_14_55_08_86_left.jpg,9d0c3c2b_2017_07_27_14_55_08_86_right.jpg
8,9d0c3c2b_2017_07_27_14_55_08_97.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_08_97_front.jpg,9d0c3c2b_2017_07_27_14_55_08_97_left.jpg,9d0c3c2b_2017_07_27_14_55_08_97_right.jpg
9,9d0c3c2b_2017_07_27_14_55_09_06.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_09_06_front.jpg,9d0c3c2b_2017_07_27_14_55_09_06_left.jpg,9d0c3c2b_2017_07_27_14_55_09_06_right.jpg
10,9d0c3c2b_2017_07_27_14_55_09_15.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_09_15_front.jpg,9d0c3c2b_2017_07_27_14_55_09_15_left.jpg,9d0c3c2b_2017_07_27_14_55_09_15_right.jpg
11,9d0c3c2b_2017_07_27_14_55_09_25.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_09_25_front.jpg,9d0c3c2b_2017_07_27_14_55_09_25_left.jpg,9d0c3c2b_2017_07_27_14_55_09_25_right.jpg
12,9d0c3c2b_2017_07_27_14_55_24_28.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_24_28_front.jpg,9d0c3c2b_2017_07_27_14_55_24_28_left.jpg,9d0c3c2b_2017_07_27_14_55_24_28_right.jpg
13,9d0c3c2b_2017_07_27_14_55_24_38.jpg,0,0,0,3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9d0c3c2b_2017_07_27_14_55_24_38_front.jpg,9d0c3c2b_2017_07_27_14_55_24_38_left.jpg,9d0c3c2b_2017_07_27_14_55_24_38_right.jpg
